"No.","URL","Detection","Registration","Host Country","Canadian Content","Risk","Type","Detected By","IP","Regulation","Canada Regulation","Payment Service","Google Analytics","Phone Number","Physical Location","Action"
"101","http://deluxesafetrade.com","2024-12-16","2024-12-12","","","Critical","Investment","","194.36.184.225","registeredx"">Details","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       24/7 support hidden fee instant invest work togeth deliv growth invest want part partnership program three easi step simpl step allow invest start earn guarante daili profit system step regist account registr take min free account activ immedi step make deposit process simpl make deposit use avail payment method step enjoy profit receiv profit accrual everi hour made deposit day week simpl step allow invest start earn guarante daili profit system regist account registr take min free account actiClose"">"
"102","http://electricbullstock.com","2024-12-16","2024-12-12","","","Critical","Investment","","46.202.161.240","compliantx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       go next level invest us friendli custom support latest technolog rang account type 've got everyth need discov better trade 52.55386 cr total deposit decemb 50.68k total investor 85.17349 cr total withdraw decemb join electr bull stock trade commun electr bull stock institutional-grad financi servic network connect compani organ trader investor global market ecosystem uniqu blend digit platform end-to-end clear execut servic high-touch servic deep expertise.w serve-commerci hedger produc whClose"">"
"103","http://cryptobrief.net","2024-12-16","2024-12-12","","","Critical","Investment","","172.67.182.215","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       crypto brief daili crypto news secur futur top crypto invest strategi beginn econom downturn uncertain financi futur challeng time 's time embrac investm unleash crypto profit stablecoin strategi market boom readi domin crypto space secret formula invest strategi tailor cap unleash crypto profit beginn guid blockchain startup revolution crypto invest exclus guid invest insight newbi maxim crypto profit tap macro advantag smart pool unlock crypto 's hidden profit crypto poolin world traClose"">"
"104","http://bluskytradsccl.com","2024-12-16","2024-12-12","","","Critical","Investment","","194.36.184.71","registeredlicensedregulatedx"">Details","","discoverx"">Details","","","London, W14 0RP, United Kingdom","Save                                 Edit                                 Close                             "">                                                                                                       get freedom market trade cryptocurr stock indic commod forex singl account trade forex/ cfd highli specul carri high level risk let top trader job covest allow automat copi top perform trader achiev return trade forex/ cfd highli specul carri high level risk less commiss forex crypto index stock energi commod market analysi andtrad inspir thrive network expert client thealertn open door mani opportun power market insight top trade setup industri extens connect profession trader explor market pacClose"">"
"105","http://cyberrescueexpert.com","2024-12-16","2024-12-12","","","Critical","Investment","","149.100.151.65","","","","","+61280035498","","Save                                 Edit                                 Close                             "">                                                                                                       trust partner data recoveri hire hacker cyber rescu expert understand lose access import account data stress experi whether forgotten password hack account lost access critic inform team specialist help reclaim what right cyber rescu expert recov lost data need profession hack servic dont know trust look team experienc hacker track record impecc dedic provid client highest qualiti servic possibl understand privaci secur utmost import commit keep data safe confidenti contact us today learn hack sClose"">"
"106","http://binancerobotsai.com","2024-12-16","2024-12-12","","","Critical","Investment","","172.67.151.32","controlledx"">Details","","","","+447351113268","44 7351 113268, Addresse: 15 Queen St, London EC4N 1TX","Save                                 Edit                                 Close                             "">                                                                                                       need help support pleas email us emailprotect explor direct indirect opportun care manag trade experi everyon get welcom bonu refer friend us want trade fastest execut trade special trade technolog market expand infrastructur use advanc technolog effect strategi excel trade expert team trade expert provid accur trade support via differ channel suprem condit maximis trade profit get public account no-requot trade trade condit present begin sure trade best quot avail count us transpar trade conditClose"">"
"107","http://cryptofinancediscovery.com","2024-12-16","2024-12-12","","","Critical","Investment","","134.255.180.117","registeredregulatedx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       world-class trade experi empow trade financi market get advanc tool person support uncompromis secur forex stock commod fxoption cryptocurr indic etf bond trade condit charg trade coin futur trade packag let financi expert manag handl trade best result basic plan silver plan gold plan platinum plan endless trade opportun await tri advanc platform never miss trade 're good compani switch crypto financ discoveri crypto financ discoveri work hard enhanc trade experi global star rate broker cliClose"">"
"108","http://btcchainview.com","2024-12-16","2024-12-12","","","High","Investment","","147.79.72.119","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       enter wallet address search type wallet bitcoin balanc 0.00000000 btc 0.00 summari address transact time bitcoin blockchain receiv total 0.00000000 btc ~0.00 sent total 0.00000000 btc ~0.00 transact btc chain view track analyz bitcoin wallet transact effortlessli advanc btc address lookup track tool whether 're manag person invest monitor busi fund platform provid seamless way access bitcoin transact histori quickli check bitcoin balanc view detail btc address inform stay inform pend btc trClose"">"
"109","http://coinwisecapital.com","2024-12-16","2024-12-12","","","Critical","Investment","","185.151.30.223","certifiedx"">Details","","","","","11288 Morning Side Dr Boyne Falls, Michigan(MI), 49713","Save                                 Edit                                 Close                             "">                                                                                                       take bold step chang world invest plan guaranti onlin payment leader digit trade start make money zelinlink welcom coinwisecapit invest plan guarante onlin payment sustain futur brighter tomorrow profit platform high-margin invest best financ us welcom coinwis capit coinwis capit activ asset manag special invest strategi core compet lie fix incom invest achiev consider track record provid servic solut institut client primarili asset manag famili offices.our invest style pragmat opportunity-ori fClose"">"
"110","http://fucuty.top","2024-12-16","2024-12-13","","","Critical","Investment","","124.156.199.217","certifiedx"">Details","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       aidefi smart mine requir purchas usdt deposit trust wallet fund never leav primari wallet gener mine reward without transfer offer level secur guarante bank deposit access mine perform 24/7 blockwar solut trust bitcoin mine partner aidefi quantit intellig mine profit model testimoni client say work platform got good feedback recommend site peopl realli trustworthi william foster connect recommend good friend jack current gener stabl incom look forward better packag platform ethan parker receiv wClose"">"
"111","http://bitcoin-apex-canada.com","2024-12-16","2024-12-12","","","High","Investment","","104.21.64.1","registeredx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       bitcoin apex canada curiou way bitcoin apex canada platform revolution trade experi har power cutting-edg comput bitcoin apex canada platform swiftli sift vast array data artifici intellig orchestr trade unparallel precis explor page unravel intricaci sophist technolog uncov bestow upon wealth market understand along sharper forecast dynam world crypto trade solid educ foundat essenti grasp innov robust knowledg invest indispens astut applic bitcoin apex canada bitcoin apex canada emerg revolutiClose"">"
"112","http://ecosbitcoinmining.com","2024-12-16","2024-12-12","","","High","Investment","","104.21.42.234","registeredx"">Details","","","","","Cardiff, CF14 8LH (ECOS (UK","Save                                 Edit                                 Close                             "">                                                                                                       start bitcoin mine get today super simpl conveni mine rig alreadi set run soon youv set account start mine first coin use cloud mine servic readi start mine eco mine work creat account choos plan start mine get mine output know us eco mine best choic crypto mine compar other subscrib newslett first get inform product servic choos eco mine offer exclus mine packag offer daili payout princip return daili mine output mine contract activ daili earn distribut prefer mine account 24hour lead revenu ppClose"">"
"113","http://catloverscrypto.com","2024-12-16","2024-12-12","","","Critical","Investment","","145.223.124.78","","","","","0123456789","1901 Thornridge Cir. , Shiloh, Hawaii","Save                                 Edit                                 Close                             "">                                                                                                       join cat lover coin pre-sal time pre-sal end exchang list estim 1.5 swpe left see exchang choos iko worth buy today use window plan invest calcul estim iko price monthli dividend fix time amount invest quantiti iko iko 0.36 0.80 q3 buy amount cat lover coin connect wallet cat lover coin estim list price support wallet metamask binanc wallet trust wallet okx wallet bitget wallet gate.io wallet etc connect wallet buy much want get involv earli investor use presal cat lover coin advantag fundament Close"">"
"114","http://eaglesdevelopmentltd.com","2024-12-16","2024-12-12","","","Critical","Investment","","92.113.18.194","certifiedvalidatedx"">Details","","","","","Dublin 1, D01 E4X0","Save                                 Edit                                 Close                             "">                                                                                                       trade invest prepar money daunt challeng today 's investor give complet account system best busi support invest n't complic eaglesdevelop sit back watch wealth grow without effort part step financi freedom eaglesdevelop built help confid investor set path secur financi futur year field invest n't complic creat wealth crypto team expert special forex crypto trade autom profit gener system regist deposit coin start make daili profit duti use capit gener profit digit sustain eaglesdeClose"">"
"115","http://8k8cas.com","2024-12-16","2024-12-12","","","Critical","Investment","","104.21.20.184","","","visadiscoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       game 8k8 casino welcom 8k8 casino philippin premier onlin game paradis experi thrill fusion cutting-edg technolog filipino hospit dive extens array game classic slot live dealer tabl enjoy top-notch secur swift transact gener bonus 'll quicken puls whether 're season player curiou newcom 8k8 casino offer adventur divers philippin archipelago readi strike gold let 's play registr login process 8k8 casino readi join 8k8 casino let 's walk simpl sign-up process pro tip use securClose"">"
"116","http://fintechzoomx.com","2024-12-16","2024-12-12","","","Critical","Investment","","66.29.132.115","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       home casino site instant withdraw dream come true gambler fintechzoom.com crypto wallet master digit asset secur fintechzoom.com crypto etf futur digit asset invest fintechzoom.com commod market trend analysi fintechzoom.com asian market today key trend investor silver price fintechzoom market trend analysi money fintechzoom transform financi manag solut fintechzoom.com ftse market trend growth insight recent news casino site instant withdraw dream come true gambler fintechzoom.com crypto walletClose"">"
"117","http://accruediamondpro.com","2024-12-16","2024-12-12","","","High","Investment","","162.254.39.93","regulatedx"">Details","","","","","20 Cooper Square, New York, NY 10003, USA","Save                                 Edit                                 Close                             "">                                                                                                       trade cryptocurr forex indic commod digit broker need succeed invest earn profit invest sure path financi freedom 30+ asset one account becom accruediamondproaffili partner partner far get refer user pay trade fee buy bitcoin testimoni get start flexibl plan trade 1:100 leverag increas cryptocurr profit use leverag margin everi provid buy sell power use leverag get exposur much larger posit standard exchange.learn bitcoin increas return would equal profit market up down accruediamondpro accept uClose"">"
"118","http://bitzixbyte.com","2024-12-16","2024-12-12","","","Critical","Investment","","81.17.30.217","","","paypaldiscoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       welcom bitzix byte mate discov groundbreak approach trade state-of-the-art crypto platform har bitzix byte 's cutting-edg ai tool enhanc earn make well-inform choic enter person inform press button agre websit 's privaci polici term condit 65+ currenc avail verifi user trade volum 98+ support countri bitzix byte discov transform era trade cutting-edg cryptocurr platform leverag bitzix byte 's sophist ai technolog boost earn make strateg decis opt bitzix byte bitzix byte top choic Close"">"
"119","http://clockwisecrypto.com","2024-12-16","2024-12-12","","","Critical","Investment","","51.81.211.154","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       power reach global network help move forward toward financi freedom crypto asset crypto invest financi freedom crypto invest financi freedom crypto invest financi freedom crypto invest financi freedom clockwis crypto defi odd world crypto market often view volatil unpredict beast clockwis crypto emerg beacon possibilityan educ platform challeng convent embrac unconvent prove obstacl roadblock opportun growth world crypto market often view volatil unpredict beast clockwis crypto emerg beacon possClose"">"
"120","http://betafxtradepro.com","2024-12-16","2024-12-12","","","Critical","Investment","","102.218.213.66","","","discoverstripex"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       elev invest experi next level experi futur invest betafx trade advanc platform expert guidanc empow elev invest new height join us today take next step toward financi success invest overview million total deposit far total investor 102.5 million total withdraw far becom part betafx trade join betafx trade mean join commun driven individu passion financi growth provid tool knowledg support help excel world forex tradinglearn read forecast marketsdiscov find trade opportun manag riskmak smarter deClose"">"
