"No.","URL","Detection","Registration","Host Country","Canadian Content","Risk","Type","Detected By","IP","Regulation","Canada Regulation","Payment Service","Google Analytics","Phone Number","Physical Location","Action"
"901","http://safecryptoverse.com","2024-12-04","2024-11-30","","","High","Investment","","88.223.84.32","compliantx"">Details","","","","","3015 Suit pagla road, Singapore","Save                                 Edit                                 Close                             "">                                                                                                       invest secur futur crypto join safe crypto vers unlock high-growth safe transpar cryptocurr invest tailor financi futur safe crypto vers believ empow individu take full advantag transform power cryptocurr blockchain technolog world digit asset continu evolv aim provid secur transpar profession platform investor seek high-growth opportun crypto space mission simpl provid expert-manag secur transpar invest strategi help client unlock full potenti cryptocurr whether 're season investor begin cClose"">"
"902","http://com-check.org","2024-12-04","2024-12-01","","","Critical","Investment","","147.45.50.5","certifiedx"">Details","","","","","5 THE BEAUMOUNT 8 SHEK KOK ROAD TSEUNG KWAN 0 NT, HONG KONG","Save                                 Edit                                 Close                             "">                                                                                                       aml bot check cryptocurr wallet dirti money investig help salvag stolen crypto check cryptocurr wallet dirti money check wallet protect scammer stolen coin three year busi abl save client loss wallet contain stolen dirti money wallet check suspici els show whether address sanction list interact address may result fine block licens revoc help get back money stolen fraudster wallet specialist analyz situat offer solut three year amlbot servic use 500+ compani exchang team aml offic help resolv difClose"">"
"903","http://simbcoin.com","2024-12-04","2024-11-30","","","Critical","Investment","","104.21.66.89","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       lowercas letter capit uppercas letter special number minimum charact forgot password contact cameroon address rue mandessi bell bali kayo eli douala- cameroun phone +237 email emailprotect offici emailprotect email newslett contact uae dubai address busi bay blue matrix busi center prime tower 27th floor offic number phone +971 email emailprotect email emailprotect offici emailprotect import link retrouvez-n privat sale cryptocurr top cryptocurr world buy ethereum buy digit virtual currenc onlinClose"">"
"904","http://tefortxacademy.com","2024-12-04","2024-11-30","","","Critical","Investment","","185.230.63.186","authorizedrecognizedx"">Details","","paypalvisadiscoverx"">Details","","+918157052152","","Save                                 Edit                                 Close                             "">                                                                                                       tefortx academi expos profession trader roadmap home regist contact master forex market becom protrad day expert trader teach forex worldwid tefortx academi welcom tefortx academi expert trader come togeth share knowledg experi forex market team dedic provid comprehens onlin cours cater beginn advanc trader alik learn in out forex trade best industri take skill next level forex trade masterclass live becom pro within day forex trade beginn profession upgrad trade skill institut level real-tim maClose"">"
"905","http://coinversecrypto.com","2024-12-04","2024-11-30","","","Critical","Investment","","172.67.199.215","","","","","","316 Beulah Hill, Upper Norwood, London SE19 3HF","Save                                 Edit                                 Close                             "">                                                                                                       financi stabil assur get start real estat get start forex build futur financi success commit offer person approach financi manag offer user tailor servic account individu financi goal portfolio manag alway forefront innov offer institut user full suit financi servic guidanc built foundat reliabl experi asset manag alway strive innov adapt leverag latest invest technolog stay cut edg financi world data encrypt data encrypt transact data secur via end-to-end encrypt ensur access person inform dediClose"">"
"906","http://stavelux.net","2024-12-04","2024-11-30","","","Critical","Investment","","172.67.197.93","registeredx"">Details","","","","","4651 Westport Dr Mechanicsburg, PA, 17055-4843 United States","Save                                 Edit                                 Close                             "">                                                                                                       trust million stavelux stavelux best place buy sell earn cryptocurrency.th wide use crypto trade platform need everyon buy crypto trade crypto step digit asset freedom stavelux get start minut littl secur crypto currenc bitcoin fulli decentr crypto currenc ensur transpar block chain technolog crypto adventur start explor finest crypto asset web3 world secur manag portfolio stavelux wallet multichain wallet import exist wallet creat new one may start manag crypto portfolio across blockchain netwoClose"">"
"907","http://futureredesign.org","2024-12-04","2024-12-01","","","Critical","Investment","","104.143.9.210","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       escap stress roll back long hour take satisfact joy life support depressur greater clariti expand insight deeper understand ... everyth everyon around 's promis futur redesign experi 8-week program trust2connect achiev quantum mindset leap put path dream futur futur redesign experi 8-week program trust2connect achiev quantum mindset leap put path dream futur 's birthright ... confid want accomplish want feel want everi day use dot download small clip mean trust2connect trust2connect meClose"">"
"908","http://apexpip.site","2024-12-04","2024-12-04","","","Critical","Investment","","92.112.189.212","licensedregulatedapprovedx"">Details","","paypalvisamastercarddiscoverx"">Details","","+13656077028","","Save                                 Edit                                 Close                             "">                                                                                                       trade share forex financi think access 000+ instrument across asset class trade hedg invest singl account freeanalysi tool fast execution0 commis low minimumdeposit 100asset trade industry-lead price get ultra-competit spread commiss across asset class receiv even better rate volum increas fx spread low 0.2 pip trade fx spot pair forward across major minor exot metal crypto trade 0.4 trade invest confid top perform cryptocurr time trade signal ensur profit day one stock commiss us stock access 0Close"">"
"909","http://emeraldequityltd.com","2024-12-04","2024-11-30","","","Critical","Investment","","157.173.209.125","registeredregulatedx"">Details","","","","","109 Tuwharetoa Street, Taupo, Taupo, 3330 , New Zealand","Save                                 Edit                                 Close                             "">                                                                                                       leader cryptocurr trade emerald equiti limit invest compani whose team work make money volatil market offer great return client financi manag wealth growth emerald equiti limit major invest larg plot land fill massiv machineri drill refineri complex infrastructur place dire need oper effici human simpli cant manag round clock use best al tool sign simpli get start creat account invest us take minut get sign make deposit deposit money wallet usd use wallet buy invest reinvest much choos invest chClose"">"
"910","http://elitesubstradings.com","2024-12-04","2024-11-30","","","Medium","Investment","","145.223.77.150","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       login regist grow cryptocurr easi access done hardwar prepar mine cryptocurr today eas comfort perform task reliabl reliabl safe everyth look ultim mine platform well-coordin team alway make invest safe refund polici million dollar insur fund prepar fulli cover forc major loss turbul market simpli ensur secur fund autom withdraw withdraw money instant use wide rang avail payment system vip manag get person manag avail demand 24/7 answer question support 24/7 team profession speak mother tongu alClose"">"
